Transferias Banco	BANCO	fas fa-dollar-sign
Biblioteca	BIBLIO	fas fa-book-reader
Copetin	CO	fas fa-utensils
Aporte Mensual Miembros	CT	fas fa-user-check
Cuentas por cobrar	CxC	fas fa-money-bill-alt
Donaciones	DONA	fas fa-hand-holding-heart
Libros	LB	fas fa-book
Mobiliario	MOBI	fas fa-home
Mantenimiento Sede	MS	fas fa-tools
Olimpiadas	OLIMPO	fas fa-medal
Oratoria	ORATORIA	fas fa-microphone
Pasajes	PASAJES	fas fa-plane-departure
Pasajes Olimpiadas	PASAJES - O	fas fa-plane-departure
Talles de Filosofia para vivir	PR	fas fa-book-open
Producción Artesanal	PROD	fas fa-hammer
Propaganda	PROPA	fas fa-bullhorn
Servicios Básicos	SB	fas fa-file-invoice-dollar
Secretarias	SECRE	fas fa-user-tie
